id, name, latitude, longitude, address, area, city,cost,Cost_Type, rating,rating_type, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
262,Masala Kraft - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 6,500.00  ", Expensive ,3.90,Very Good,no,no,yes,yes,no,no
263,Souk - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 5,500.00  ", Expensive ,4.00,Very Good,no,no,yes,yes,no,no
264,Sea Lounge - The Taj Mahal Palace,18.92,72.83,"The Taj Mahal Palace & Tower, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 3,500.00  ", Expensive ,4.40,Very Good,no,no,no,yes,no,no
265,Hard Rock Cafe,19.01,72.83,"Wadia International Center, Bombay Dyeing, Pandhurang Budhkar Marg,Worli, Mumbai",Worli, Mumbai,"  ? 2,500.00  ", Moderate ,4.30,Very Good,no,no,yes,no,no,no
266,ZOOBAR,19.10,72.84,"1st Floor, Liberty Lodge, DJ Road, Above Mcdonalds,Vile Parle West, Mumbai",Vile Parle West, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.90,Very Good,yes,yes,yes,yes,yes,no
267,99 Bollywood Bar,19.07,72.84,"Near Hotel Amardeep, Opp.GASM Lounge' Next toKharStation, Khar West, Khar, Mumbai",Khar, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.50,Good,no,yes,yes,yes,yes,no
268,The Sassy Spoon,18.93,72.82,"Ground Floor, Express Towers, Ramnath Goenka Marg,Nariman Point, Mumbai",Nariman Point, Mumbai,"  ? 1,800.00  ", Moderate ,4.30,Very Good,no,no,yes,no,yes,no
269,The Irish House,19.21,72.97,"Majiwada, Thane WestViviana Mall, Level 1, Eastern Express Highway, Beside Jupiter Hospital,","Majiwada, Thane West", Mumbai,"  ? 1,900.00  ", Moderate ,4.10,Very Good,no,yes,yes,no,no,no
270,Gajalee,19.10,72.85,"Kadamgiri Complex, Hanuman Road,Vile Parle East, Mumbai",Vile Parle East, Mumbai,"  ? 1,000.00  ", Budget Friendly ,4.10,Very Good,yes,no,no,no,no,no
271,Britannia & Company Restaurant,18.93,72.84,"Wakefield House, 11 Sprott Road, 16 Ballard Estate,Fort, Mumbai",Fort, Mumbai,"  ? 1,000.00  ", Budget Friendly ,4.00,Very Good,no,no,no,no,no,no
272,Pizza Hut,18.94,72.83,"Elphinston House, 17 Muraban Road, Opposite Sterling Theatre,Mumbai CST Area, Mumbai",Mumbai CST Area, Mumbai,  ? 900.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
273,Borivali Biryani Centre,19.22,72.84,"25-28, Aditya Apartment, Shimpoli, Chikuwadi,Borivali West, Mumbai",Borivali West, Mumbai,  ? 750.00  , Budget Friendly ,3.10,Good,yes,no,no,no,no,no
274,The Pancake Story,19.14,72.83,"Andheri Lokhandwala, Andheri West3, Lokhandwala Complex,","Andheri Lokhandwala, Andheri West", Mumbai,  ? 500.00  , Budget Friendly ,4.50,Very Good,no,no,no,no,no,no
275,Chitchat Chai,19.23,72.85,"Shop 8, Victory Park, Chandaverkar Lane,Borivali West, Mumbai",Borivali West, Mumbai,  ? 150.00  , Budget Friendly ,3.80,Very Good,yes,yes,no,no,no,no
276,Air Deck Lounge,19.21,72.84,"X Central Mall, Above Kotak Bank, Mahavir Nagar,Kandivali West, Mumbai",Kandivali West, Mumbai,"  ? 1,500.00  ", Budget Friendly ,3.20,Good,no,yes,yes,no,yes,no
277,The Marina Upper deck - Rooftop Cafe- Sea Palace Hotel,18.92,72.83,"Sea Palace Hotel, PJ Ramchandani Marg, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,"  ? 1,600.00  ", Moderate ,3.50,Good,no,no,yes,no,yes,no
278,The Junkyard Cafe,19.06,72.83,"Hill Road, Bandra West164,","Hill Road, Bandra West", Mumbai,"  ? 2,100.00  ", Moderate ,3.80,Very Good,no,yes,yes,no,no,no
279,Punjab Grill,18.99,72.82,"3rd Floor, Palladium Mall, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 2,000.00  ", Moderate ,4.40,Very Good,yes,no,yes,yes,no,no
280,Spesso Gourmet Kitchen,18.92,72.82,"Ground Floor, Regent Chambers, Jamnalal Bajaj Road,Nariman Point, Mumbai",Nariman Point, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
281,Brewbot Eatery & Pub Brewery,19.14,72.83,"G01 & 101, Morya Landmark 1, Off New Link Road,Veera Desai Area, Mumbai Veera Desai Area",Veera Desai Area, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.10,Very Good,yes,yes,yes,yes,yes,no
282,Hello Guppy,19.06,72.86,"Unit 4, Ground Floor, Jet Airways, Godrej Building,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.30,Very Good,no,yes,yes,no,yes,no
283,Yoko Sizzlers,19.08,72.84,"10/11, West View 309, SV Road, Near Akbarallys,Santacruz West, Mumbai",Santacruz West, Mumbai,"  ? 2,100.00  ", Moderate ,3.70,Very Good,no,no,no,no,no,no
284,Cafe Chokolade,19.22,72.85,"Shop 8, Bhattad Towers, Opposite Kora Kendra Ground, Bhattad Road.,Borivali West, Mumbai",Borivali West, Mumbai,  ? 500.00  , Budget Friendly ,3.70,Very Good,yes,no,no,yes,no,no
285,Xico,19.01,72.82,"Ground Floor, Oasis City, Kamala Mills,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 4,000.00  ", Expensive ,3.70,Very Good,no,no,yes,no,yes,no
286,Quattro Ristorante,18.99,72.83,"7, Janta India Estate, Senapati Bapat Marg, Opposite Phoenix Mills,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,800.00  ", Moderate ,4.30,Very Good,yes,no,yes,no,yes,no
287,Pakka Local Bar,19.11,72.88,"06/106, Town Center, Opposite Times Square Building,MarolNaka, Marol, Mumbai",Marol, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.70,Very Good,no,no,yes,yes,yes,no
288,Turban Tales,19.12,72.91,"2nd Floor, Above Mini Punjab Lakeside, Adishankarashrya Marg, Near Panchkutir Bus Stop, JVLR,Powai, Mumbai",Powai, Mumbai,  ? 800.00  , Budget Friendly ,4.00,Very Good,no,yes,yes,no,no,no
289,3 Wise Monkeys,19.07,72.84,"The Unicontental, 3rd Road, Off SV Road,KharWest, Khar, Mumbai",Khar, Mumbai,"  ? 1,500.00  ", Budget Friendly ,3.80,Very Good,yes,no,yes,yes,no,no
290,Boteco,19.06,72.87,"Unit GO 1A, Ground Floor, Parinee Crescenzo, G Block,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 1,900.00  ", Moderate ,4.50,Very Good,yes,no,yes,no,yes,no
291,Radha Krishna,19.11,72.84,"50, SV Road,Near Andheri West Station, Mumbai",Near Andheri West Station, Mumbai,  ? 750.00  , Budget Friendly ,3.80,Very Good,yes,no,no,no,no,no
292,Sai Palace,19.11,72.86,"Near Holy Family School,MahakaliRoad, Mahakali, Mumbai",Mahakali, Mumbai,"  ? 1,100.00  ", Budget Friendly ,3.90,Very Good,yes,no,yes,no,no,no
293,Veranda,19.07,72.83,"Pali Hill, Bandra WestHotel Executive Enclave, 331, Dr Ambedkar Road,","Pali Hill, Bandra West", Mumbai,"  ? 3,000.00  ", Moderate ,4.40,Very Good,no,no,yes,yes,yes,no
294,Nau Se Barah 9/12,19.10,73.01,"Ground Floor, Balaji movieplex, Sector 8,Kopar Khairane, Navi Mumbai",Kopar Khairane, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.80,Very Good,no,yes,yes,yes,no,no
295,The Chocolate Room,19.08,72.90,"Shop 1, M G Road, Opposite Kotak Mahindra Bank,Ghatkopar East, Mumbai",Ghatkopar East, Mumbai,  ? 500.00  , Budget Friendly ,3.90,Very Good,no,no,no,no,no,no
296,The Bar Terminal,18.93,72.83,"6/8, Rajabahadur Mansion, Hamam Street, Next to Bombay Stock Exchange Building,Fort, Mumbai",Fort, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.60,Very Good,no,yes,yes,yes,no,no
297,Aromas Cafe,19.12,72.91,"Ground Floor, Ventura Building, Hiranandani Gardens,Powai, Mumbai",Powai, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.80,Very Good,yes,no,no,yes,no,no
298,Jia The Oriental Kitchen,18.92,72.83,"2, Dhanraj Mahal, C. S. Marg,Colaba, Mumbai",Colaba, Mumbai,"  ? 2,500.00  ", Moderate ,4.50,Very Good,yes,no,yes,no,no,no
299,Chaubara 601,19.20,72.98,"Naupada, Thane WestRooftop, CKP Hall, Kharkar Alley, Next to NKT College, Behind Thane Court,","Naupada, Thane West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,4.50,Very Good,no,yes,no,no,yes,yes
300,Copper Chimney,18.99,72.81,"12A, Lotus Court, Dr Annie Besant Road,Worli, Mumbai",Worli, Mumbai,"  ? 1,150.00  ", Budget Friendly ,3.70,Very Good,yes,no,yes,no,yes,no
301,The Table,18.92,72.83,"Kalapesi Trust Building, Near Hotel Suba Palace, CS Maharishi Marg,Colaba, Mumbai",Colaba, Mumbai,"  ? 4,000.00  ", Expensive ,4.10,Very Good,no,no,yes,yes,yes,no
302,Off The Grid,19.14,72.83,"Oshiwara, Andheri WestG-5, Mourya Landmark 1, Plot B - 25, Off link Road, Opposite Infinity Mall,","Oshiwara, Andheri West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.90,Very Good,no,yes,yes,yes,yes,no
303,Ustaadi,18.95,72.83,"B, Sitaram Building, Dr. D. N. Road, Near Crawford Market,Mumbai CST Area, Mumbai",Mumbai CST Area, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.10,Very Good,yes,yes,no,yes,yes,no
304,Pratap The Dhaba,19.15,72.83,"Oshiwara, Andheri WestLink Plaza, Next To Punjab & Maharashtra Bank,","Oshiwara, Andheri West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.90,Very Good,yes,yes,yes,no,yes,no
305,Red Olives,19.12,72.91,"19, Ventura Building, Hiranandani Business Park, Central Avenue Road,Powai, Mumbai",Powai, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.50,Very Good,yes,no,yes,yes,yes,no
306,Gustoso,19.07,72.83,"Jharna Apartments, Dr BR Ambedkar Road,KharWest, Khar, Mumbai",Khar, Mumbai,"  ? 2,200.00  ", Moderate ,3.90,Very Good,yes,yes,yes,no,yes,no
307,Sheesha Sky Lounge,18.99,72.82,"P2 Building, 4th Floor, Roof Top Terrace Raghuvanshi Estate, S.B Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.00,Very Good,no,yes,no,yes,yes,yes
308,Cafe Coffee Day,19.04,72.85,"Cadell RoadMahim, 96, Ground Floor, Jahangir Baug, Mahim, Mumbai",Mahim, Mumbai,  ? 500.00  , Budget Friendly ,2.60,Good,yes,no,no,no,no,no
309,Biryani Barbeque Chinese By  Borivali Biryani Centre,19.23,72.85,"Shraddha Heights, Babhai Naka, Opposite Kam Dhenu Building,Borivali West, Mumbai",Borivali West, Mumbai,  ? 550.00  , Budget Friendly ,4.10,Very Good,yes,no,no,no,no,no
310,Delhi Darbar,18.92,72.83,"10/14, Holland House, Shaheed Bhagat Singh Road, Near Regal Cinema,Colaba, Mumbai",Colaba, Mumbai,  ? 900.00  , Budget Friendly ,3.40,Good,yes,no,no,no,no,no
311,MexiChino,19.23,72.85,"Ground Floor, Lucky Laxmi Building, Lane Opp. To gate no 2 of Veer Savarkar garden, Vasantrao Chogle Road, Opposite Bhatiawadi, Babhai Naka,Borivali West, Mumbai",Borivali West, Mumbai,  ? 700.00  , Budget Friendly ,4.10,Very Good,yes,no,no,no,yes,no
312,The Blue,19.07,72.83,"Pali Hill, Bandra WestShop 1, Sai Pooja Building, 16th Road & 33rd Road Junction,","Pali Hill, Bandra West", Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.50,Very Good,no,yes,no,no,no,no
313,Lucky Restaurant,19.05,72.84,"Hill Road, Bandra WestJunction Of SV Road & Hill Road,","Hill Road, Bandra West", Mumbai,  ? 750.00  , Budget Friendly ,3.60,Very Good,yes,yes,no,yes,yes,no
314,Dara's Dhaba,19.28,72.89,"Western Express Highway 8, Kashimira, PostMira RoadEast, Mumbai, Mira Road, Mumbai",Mira Road, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.60,Very Good,yes,yes,yes,no,no,no
315,TNBT : The Next Big Thing,18.96,72.81,"29/A, Jethabhai Govindji Building, Opposite Merchants Club, Metro Motors Lane, Rangekar Road,Chowpatty, Mumbai",Chowpatty, Mumbai,  ? 850.00  , Budget Friendly ,4.00,Very Good,yes,no,no,yes,no,no
316,Cafe Bandra,19.06,72.83,"Pali Hill, Bandra West85, Luis Belle CHS LTD, TPS 3 Junction of 16th & 30th Road,","Pali Hill, Bandra West", Mumbai,  ? 800.00  , Budget Friendly ,3.90,Very Good,no,yes,no,no,yes,no
317,Genuine Broaster Chicken,19.13,72.82,"Versova, Andheri WestShop 1 and 2, Tirupati Tower, Opposite Thakkar Sweets,","Versova, Andheri West", Mumbai,  ? 800.00  , Budget Friendly ,3.80,Very Good,yes,yes,yes,no,yes,no
318,Pali Bhavan,19.06,72.83,"10 Adarsh Nagar, Next to Costa Coffee, Pali Naka,Pali Hill, Bandra West, Mumbai","Pali Hill, Bandra West", Mumbai,"  ? 3,000.00  ", Moderate ,3.90,Very Good,no,no,yes,no,no,no
319,Kazuza,19.07,72.84,"301, Hi-Tech Centre, SV Road, NearKharTraffic Police Station, Khar, Mumbai",Khar, Mumbai,  ? 800.00  , Budget Friendly ,4.20,Very Good,no,yes,no,yes,yes,no
320,Guru Kripa,19.04,72.86,"40, Guru Kripa Building, Road 24, Near SIES College,Sion, Mumbai",Sion, Mumbai,  ? 300.00  , Budget Friendly ,4.30,Very Good,no,no,no,no,no,no
321,TGI Fridays,19.07,72.83,"201, Second Floor, Link Corner, Bandra,KharWest, Khar, Mumbai",Khar, Mumbai,"  ? 2,500.00  ", Moderate ,3.30,Good,no,yes,yes,yes,yes,no
322,Canto Cafe & Bar,18.96,72.81,"534, SVP Road, Hughes Road, Opera House,Charni Road, Mumbai",Charni Road, Mumbai,"  ? 1,300.00  ", Budget Friendly ,4.20,Very Good,yes,no,yes,yes,yes,no
323,KFC,19.12,72.91,"Ground Floor, Haiko Mall, Hiranandani Gardens,Powai, Mumbai",Powai, Mumbai,  ? 550.00  , Budget Friendly ,3.40,Good,yes,no,no,no,no,no
324,Monkey Bar,19.07,72.83,"Linking Road, Bandra WestSummerville, Junction of 14th & 33rd Road,","Linking Road, Bandra West", Mumbai,"  ? 1,800.00  ", Moderate ,3.80,Very Good,yes,yes,yes,no,yes,no
325,D:OH!,19.01,72.83,"Ground Floor, Unit 2B, Trade View, Kamala City, Kamala Mills Compound, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,  ? 800.00  , Budget Friendly ,3.80,Very Good,yes,yes,yes,no,yes,no
326,Bombay 63,19.18,72.87,"Shop 2, Near Dindoshi Court, Film City Road,Goregaon East, Mumbai",Goregaon East, Mumbai,  ? 800.00  , Budget Friendly ,3.80,Very Good,yes,yes,yes,no,yes,no
327,Poetry by Love and Cheesecake,19.07,72.83,"Linking Road, Bandra WestPali Darshan, Junction of 16th & 33rd road,","Linking Road, Bandra West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
328,Sirocco,19.14,72.81,"Inch By Inch Body Temple, JP Road, Off Yari Road, Panch Nagar, Near D Mart,Versova, Andheri WestMumbai 400061, Versova, Andheri West","Versova, Andheri West", Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.80,Very Good,yes,yes,yes,yes,yes,no
329,Kasbah Grand,19.16,72.84,"Top Floor, Chandiwala Arcade, Opposite Bangur Nagar, Goregoan Link Road,Goregaon West, Mumbai",Goregaon West, Mumbai,"  ? 1,400.00  ", Budget Friendly ,3.70,Very Good,yes,yes,no,no,yes,yes
330,The Appetite Momos,19.19,72.97,"Naupada, Thane WestDada Patil Wadi, Opposite Kotak Mahindra ATM, Railway Station,","Naupada, Thane West", Mumbai,  ? 200.00  , Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
331,Maharaja Bhog,19.00,72.83,"Opposite Kamla Mills Senapati Bapat Marg, Todi Mills ,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,180.00  ", Budget Friendly ,4.10,Very Good,yes,no,no,no,no,no
332,Belstone,18.99,72.82,"First Floor, 11/12, Raghuvanshi Mills, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,100.00  ", Budget Friendly ,3.70,Very Good,yes,no,no,yes,yes,no
333,SardaarJi,19.12,72.83,"Shop 14,JuhuEkta CHS, Next to Mohan Medical, Juhu Versova Link Road, Juhu, Mumbai",Juhu, Mumbai,  ? 500.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,no,no
334,The Stables - Peninsula Redpine,19.11,72.88,"Peninsula Redpine, Near Airport Road Metro Station, Andheri East,Marol, Mumbai",Marol, Mumbai,"  ? 1,500.00  ", Budget Friendly ,3.90,Very Good,no,yes,yes,yes,yes,no
335,Quesso Ristorante,19.15,72.83,"Oshiwara, Andheri West93-96, Link Plaza Commercial Premises, Above Shreejee Veg Wonder, Link Road Extension,","Oshiwara, Andheri West", Mumbai,"  ? 1,600.00  ", Moderate ,4.10,Very Good,yes,no,yes,no,yes,no
336,JW Café - JW Marriott Mumbai Sahar,19.10,72.87,"JW Marriott Mumbai Sahar, IA Project Road, Chhatrapati Shivaji International Airport, Mumbai Sahar,Chakala, Mumbai",Chakala, Mumbai,"  ? 4,000.00  ", Expensive ,4.70,Excellent,no,yes,yes,yes,yes,no
337,Hungry Head,19.12,72.91,"1, Hakone, BehindPowaiPlaza, Powai, Mumbai",Powai, Mumbai,  ? 400.00  , Budget Friendly ,3.70,Very Good,yes,no,no,no,no,no
338,Mamagoto,19.05,72.83,"133, Ground Floor, Gazebo House,Hill Road, Bandra West, Mumbai, Maharashtra","Hill Road, Bandra West", Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.10,Very Good,yes,no,yes,no,no,no
339,Warehouse Kitchen,19.24,72.84,"5, Sureshwari Vilas, Link Road, Near Eskay Resort,Borivali West, Mumbai",Borivali West, Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.60,Very Good,yes,no,yes,yes,yes,no
340,Hard Rock Cafe,19.14,72.84,"Sharyans Audeus, Ground Floor, Opposite Yashraj Studios,Veera Desai Area, Mumbai Veera Desai Area",Veera Desai Area, Mumbai,"  ? 2,500.00  ", Moderate ,4.20,Very Good,no,no,yes,no,no,no
341,The Irish House,18.99,72.82,"Phoenix Mills Compound, High Street Phoenix, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 1,900.00  ", Moderate ,4.00,Very Good,no,yes,yes,no,no,no
342,The Irish House,19.06,72.83,"Pali Hill, Bandra West7, A-Wing, Gasper Enclave, Palinaka,","Pali Hill, Bandra West", Mumbai,"  ? 1,900.00  ", Moderate ,4.20,Very Good,no,no,yes,no,no,no
343,The Irish House,18.93,72.83,"Rampart Row, Near Rhythm House, Kalaghoda,Fort, Mumbai",Fort, Mumbai,"  ? 1,900.00  ", Moderate ,4.00,Very Good,no,yes,yes,yes,yes,no
344,The Irish House,19.13,72.83,"Level One, Fun Republic, Veera Desai Road, Shah Industrial Estate,Veera Desai Area, Mumbai",Veera Desai Area, Mumbai,"  ? 1,900.00  ", Moderate ,4.30,Very Good,no,yes,yes,no,no,no
345,The Irish House,19.17,72.84,"2nd Floor, Inorbit Mall, Link Road,Malad West, Mumbai",Malad West, Mumbai,"  ? 1,900.00  ", Moderate ,4.10,Very Good,no,yes,yes,no,no,no
346,The Irish House,19.09,72.89,"Level 1, Phoenix Market City Mall, LBS Road,Kurla, Mumbai",Kurla, Mumbai,"  ? 1,900.00  ", Moderate ,4.00,Very Good,no,yes,yes,no,no,no
347,The Irish House,19.21,72.97,"Majiwada, Thane WestViviana Mall, Level 1, Eastern Express Highway, Beside Jupiter Hospital,","Majiwada, Thane West", Mumbai,"  ? 1,900.00  ", Moderate ,4.10,Very Good,no,yes,yes,no,no,no
348,PizzaExpress,19.21,72.97,"Majiwada, Thane West2nd Floor, Viviana Mall, Eastern Express Highway, Near Jupiter Hospital,","Majiwada, Thane West", Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.30,Very Good,no,no,yes,no,no,no
349,SodaBottleOpenerWala,19.21,72.97,"Majiwada, Thane WestViviana Mall, Eastern Express Highway, Near Jupiter Hospital,","Majiwada, Thane West", Mumbai,"  ? 1,300.00  ", Budget Friendly ,4.10,Very Good,no,no,yes,yes,no,no
350,Taj Mahal Tea House,19.05,72.83,"Reclamation, Bandra West36-A, Ground Floor, Sanatan Pereira Bungalow, St. John Baptist Road,","Reclamation, Bandra West", Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.40,Very Good,no,no,no,yes,yes,no
351,Waters 24 - Vintage Cafe,19.20,72.96,"Panch Pakhadi, Thane West2nd floor, Sun Magnetica Building, Greens Road, Louis Wadi Service Road, Near Eastern Express Highway,","Panch Pakhadi, Thane West", Mumbai,  ? 700.00  , Budget Friendly ,3.80,Very Good,no,yes,yes,yes,no,yes
352,Hemant Oberoi,19.20,72.96,"Unit 5, Ground Floor, Jet Airways Godrej Building,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 4,000.00  ", Expensive ,4.40,Very Good,no,no,yes,yes,yes,no
353,JW Café - JW Marriott Mumbai Sahar,19.10,72.87,"JW Marriott Mumbai Sahar, IA Project Road, Chhatrapati Shivaji International Airport, Mumbai Sahar,Chakala, Mumbai",Chakala, Mumbai,"  ? 4,000.00  ", Expensive ,4.70,Excellent,no,yes,yes,yes,yes,no
354,The Finch,19.11,72.89,"Finch Shah Industrial Estate, Opp. Huntsman Building, Saki Vihar Road, Andheri (E), Mumbai-400072","Linking Road, Bandra West", Mumbai,"  ? 3,000.00  ", Moderate ,4.30,Very Good,no,yes,yes,yes,yes,no
355,China Gate,19.06,72.83,"Linking Road, Bandra West155, Waterfield Road, Tamang Niwas,","Linking Road, Bandra West", Mumbai,"  ? 1,800.00  ", Moderate ,3.60,Very Good,yes,no,yes,no,yes,no
356,Roots Cafe,19.11,72.88,"Peninsula Redpine, Near Airport Road Metro Station, Andheri East,Marol, Mumbai",Marol, Mumbai,  ? 900.00  , Budget Friendly ,3.50,Good,no,yes,yes,no,no,yes
357,Madras Diaries,19.06,72.83,"Linking Road, Bandra WestShop 7, Ground Floor, Muzaffar Manor, 117 Waterfield Road,","Linking Road, Bandra West", Mumbai,  ? 550.00  , Budget Friendly ,3.80,Very Good,no,no,no,yes,yes,no
358,B MAD - The Restaurant,19.17,72.96,"Shop 6,7,8, 1st Floor, Munshi Estate, M.G Road, Near Mulund Station,Mulund West, Mumbai - 80",Mulund West, Mumbai,"  ? 1,200.00  ", Budget Friendly ,3.80,Very Good,no,no,no,no,no,no
359,Hotel Sai Palace Garden,19.28,72.89,"Western Express Highway, Near Laxmi Baug, KashiMira Road, Mumbai",Mira Road, Mumbai,"  ? 1,500.00  ", Budget Friendly ,3.70,Very Good,no,no,yes,no,no,no
360,Urban Tadka,19.13,72.82,"7 Bungalows, Andheri WestShiv Shopping Center, Off J.P. Road Junction, Off Bon Bon Lane and Juhu Versova Link Road,","7 Bungalows, Andheri West", Mumbai,"  ? 1,000.00  ", Budget Friendly ,3.70,Very Good,yes,no,yes,no,no,no
361,The Homemade Cafe,19.15,72.83,"Oshiwara, Andheri West4, 41, Kaveri Building, Near Oshiwara Police Station, Oshiwara Link Road,","Oshiwara, Andheri West", Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
362,NRI - Not Really Indian,19.05,72.85,"2, North Avenue, Maker Maxity,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,"  ? 2,000.00  ", Moderate ,3.90,Very Good,no,yes,yes,no,yes,no
363,Cafe Delhi Heights,19.00,72.83,"Unit 2, C.S. 448, Ground Floor, Kamala Mills Compund, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,"  ? 2,000.00  ", Moderate ,3.80,Very Good,no,no,yes,yes,no,no
364,Peshawri - ITC Maratha,19.10,72.87,"ITC Maratha, Sahar Road,Chakala, Mumbai",Chakala, Mumbai,"  ? 5,000.00  ", Expensive ,4.50,Very Good,no,no,yes,yes,yes,no
365,The Bohri Kitchen,19.10,72.87,"Worli, Mumbai",Worli, Mumbai,  ? 600.00  , Budget Friendly ,4.40,Very Good,no,no,no,no,no,no
366,Relish - International Veg Cuisine,18.93,72.83,"Prem Court, J Tata Road,Churchgate, Mumbai",Churchgate, Mumbai,"  ? 1,200.00  ", Budget Friendly ,4.10,Very Good,yes,no,no,no,no,no
367,The Benedict Bistro & Bar,19.05,72.83,"Reclamation, Bandra WestBuilding 68, Chapel Road, Behind Lilavati Hospital,","Reclamation, Bandra West", Mumbai,"  ? 2,000.00  ", Moderate ,4.10,Very Good,yes,yes,yes,yes,yes,yes
368,Dinshaw's Xpress Cafe,19.15,72.83,"Oshiwara, Andheri West6, Oshiwara Shop, Windermere Building, Off Link Road,","Oshiwara, Andheri West", Mumbai,  ? 800.00  , Budget Friendly ,3.90,Very Good,yes,yes,no,no,no,no
369,Bennie's By Flag's,19.14,72.83,"Andheri Lokhandwala, Andheri WestFlags Avant Garde, Near Marks and Spencer’s, K. R. Basakhetre Road,","Andheri Lokhandwala, Andheri West", Mumbai,"  ? 1,500.00  ", Budget Friendly ,4.20,Very Good,yes,no,yes,no,yes,no
370,Kitty Su - The Lalit Mumbai,19.11,72.87,"The Lalit Mumbai, Sahar Airport Road, Andheri East,Chakala, Mumbai",Chakala, Mumbai,"  ? 3,000.00  ", Moderate ,3.50,Good,no,yes,yes,no,yes,no
371,Sindhful,19.07,72.84,"Haji Mansion, 5th Road,KharWest, Khar, Mumbai",Khar, Mumbai,  ? 800.00  , Budget Friendly ,4.40,Very Good,yes,no,no,no,no,no
372,Trioz,19.07,72.84,"406, SV Road, First Floor, Next to Pawan Hans,Vile Parle West, Mumbai Above Dominos",Vile Parle West, Mumbai,"  ? 1,100.00  ", Budget Friendly ,3.30,Good,no,yes,yes,no,yes,no
373,Aaswad,19.02,72.84,"61, Mejwani, Sadanand, Gokhale Road, Opposite Amar Hind Mandal,Dadar Shivaji Park, Mumbai",Dadar Shivaji Park, Mumbai,  ? 300.00  , Budget Friendly ,4.20,Very Good,yes,no,no,no,no,no
374,Facing East,19.11,72.83,"JVPD Scheme, 13th Road, NearJuhuGymkhana, Juhu, Mumbai",Juhu, Mumbai,"  ? 1,300.00  ", Budget Friendly ,3.80,Very Good,yes,no,yes,no,no,no
375,Oye Kake,19.01,72.83,"Ground Floor, Trade View Building Oasis Complex, Kamala Mills Compound, Pandurand Budhkar Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,  ? 600.00  , Budget Friendly ,3.80,Very Good,yes,no,yes,no,no,no
376,Banana Leaf,19.13,72.82,"7 Bungalows, Andheri WestShubham CHS, Opposite Vikram Petrol Pump, Juhu Versova Link Road,","7 Bungalows, Andheri West", Mumbai,  ? 600.00  , Budget Friendly ,3.90,Very Good,yes,no,no,no,yes,no
